"Label","Mean","SD","Min.","25%","50%","75%","Max.","Skewness","Kurtosis"
"region",6.56424581005587,3.29502738258929,2,4,6,9,15,0.305395599783046,-0.950829352593182
"region_C",0.101206338880626,3.29502738258929,-4.46303947117524,-2.46303947117524,-0.463039471175237,2.53696052882476,8.53696052882476,0.305395599783045,-0.950829352593182
"region_S",0.0307134137747242,0.999952577277562,-1.35441296945648,-0.747466524907188,-0.140520080357897,0.769899586466039,2.59073892011391,0.305395599783046,-0.950829352593178
"reglen",6.02793296089385,2.02900582131845,2,4,6,7,14,0.661908406093437,0.366303420176074
"reglen_C",0.0151572664935532,2.02900582131845,-4.0127756944003,-2.0127756944003,-0.0127756944003048,0.987224305599695,7.9872243055997,0.66190840609344,0.366303420176078
"reglen_S",0.00749033149721583,1.00268252312661,-1.98301060338405,-0.994662011584475,-0.00631341978490147,0.487860876114885,3.94708094741339,0.661908406093439,0.366303420176075
"f_coca",86909.6363636364,150337.590838982,28,8347.5,31226.5,96906,1103343,3.50245566840695,14.9658981708009
"f_coca_log",10.1580872727757,1.84849179154051,3.3322045101752,9.02969978953818,10.3490142959354,11.4814960828772,13.9138552199761,-0.753681218431893,1.02596238448369
"std_res_f_coca_log",-0.12688338393587,0.983281086694374,-4.05164445637593,-0.718382459724511,0.0402691197236563,0.592363798066356,2.34908678739222,-0.744116618906749,0.725030411277059
"f_coca_lem",144556.127840909,239714.32566351,28,15068,52432.5,160399.5,2096020,3.59259101919998,17.8442465006842
"f_coca_lem_log",10.7134599613433,1.83395727165515,3.3322045101752,9.62032856660972,10.8672647095042,11.9854223751158,14.5555508663623,-0.835560426033961,1.31735708339712
"std_res_f_coca_lem_log",-0.117229502256541,1.00566394062518,-4.11942399468304,-0.694633162854059,0.0644763516373779,0.634298545266716,2.0508554961251,-0.798565750990602,0.656585753953702
"prevwlen",4.1536312849162,2.12267356872286,1,3,3,6,13,0.956699269009263,0.677881737100839
"prevwlen_C",0.0146241025606413,2.12267356872286,-3.13900718235556,-1.13900718235556,-1.13900718235556,1.86099281764444,8.86099281764444,0.956699269009262,0.677881737100838
"prevwlen_S",0.00704345152530495,1.02234980391778,-1.51184969025103,-0.548583534793228,-0.548583534793228,0.896315698393467,4.26774724249576,0.956699269009258,0.677881737100834
"prevf_coca",6830030.21098266,9685410.48405806,93,69786,1231744.5,11733607,25131726,1.16837123853477,-0.342038919066382
"prevf_coca_log",13.5042556735898,2.93187921104729,4.53259949315326,11.1531886955671,14.0239350098867,16.2779676754919,17.0396415900104,-0.516477753423141,-0.591644675202475
"std_res_prevf_coca_log",0.0154150935837569,0.996457726715172,-2.99576117719187,-0.539386260610865,-0.0324880120501767,0.852662542392508,1.9032642316154,-0.502447231523664,0.059330042069626
"prevf_coca_lem",7750660.76011561,9752884.39043204,121,104951,1276134.5,14388972,25131726,0.902674158334659,-0.797963229549296
"prevf_coca_lem_log",13.7978203099877,2.86092258284002,4.79579054559674,11.5612488535502,14.0591616144696,16.4819726378127,17.0396415900104,-0.540569510127694,-0.682943166556852
"std_res_prevf_coca_lem_log",0.0155175979741866,1.00233577976442,-3.17471838286787,-0.469189730155492,0.13380781986054,0.925480386342034,2.1671530148749,-0.690480290719406,0.388590290639893
"nextwlen",4.1927374301676,2.18967600363432,1,2,4,5,13,0.993447579712919,0.571574053268786
"nextwlen_C",-0.0331571862437638,2.18967600363432,-3.22589461641136,-2.22589461641136,-0.225894616411365,0.774105383588635,8.77410538358864,0.993447579712921,0.57157405326879
"nextwlen_S",-0.015168546984177,1.00171960000062,-1.47576256004648,-1.01828866969101,-0.103340888980064,0.354133001375409,4.01392412421919,0.993447579712919,0.571574053268786
"nextf_coca",3920106.64044944,6160610.67984215,39,59940.5,773795.5,4345434,25131726,2.03330063767799,3.88229851332904
"nextf_coca_log",13.0884458083494,2.77939673697976,3.66356164612965,11.0010505882644,13.5590613327238,15.2843273001391,17.0396415900104,-0.545593735120473,-0.483339357565826
"std_res_nextf_coca_log",0.0239639375672975,1.01363198185316,-4.22035458267628,-0.491411754345437,0.196233746509925,0.638324332278422,1.83392508764058,-0.958824457419978,1.21520711358957
"nextf_coca_lem",4525175.81460674,6497909.79707867,312,102252,967511,8375112,25131726,1.64927427115227,2.1865959781603
"nextf_coca_lem_log",13.4216089981432,2.60242303657224,5.74300318780948,11.5338823402191,13.7824820733305,15.9407750087203,17.0396415900104,-0.499266028675007,-0.617504036080078
"std_res_nextf_coca_lem_log",0.0134430025780148,1.01534851998119,-3.30365872273502,-0.452172462483276,0.194654542689804,0.563178139412626,1.72312131570023,-0.94133560879446,0.98897343691655
