"subj","calc.age.dec","ppvt.raw","ppvt.raw_bct","ppvt.st","wasi.v.raw","wasi.v.t","piat.l.raw","piat.l.raw_bct","piat.l.grade","wid.raw","wid.grade","watt.raw","watt.raw_bct","watt.grade","piat.r.raw","piat.r.raw_bct","piat.r.grade","gort.comp","gort.comp_bct","mrt","art","art_bct","corsi","gort.wpm","sspan.corr"
"AD136TW",19.92,185,92.7574704102826,114,62,60,99,361.348828650167,13,69,14.1,26,9.95008231287895,7.5,99,75.8546521229869,13,11,16.0257709827896,14,4,1.79841615984449,6.1,135.375,32
"AD137AD",18.29,161,45.955087672545,93,49,44,89,117.136125416741,10.6,60,7.1,21,1.16305376787478,4.7,70,2.49839665742208,5.8,12,19.4095885590456,6,1,0.726741675388363,4.4,129.700598802395,35
"AD138EG",16.6,133,1.07236256893829,80,39,36,92,175.82555793375,11.6,64,9.1,28,14.3882902678818,10.2,72,5.67437396691397,6.2,9,9.97098001967218,4,2,1.18459712334706,5.2,132.883435582822,26
"AD139BS",22.68,160,44.1209035506749,89,48,41,92,175.82555793375,11.6,67,11.6,26,9.95008231287895,7.5,84,32.1696275703002,8.7,11,16.0257709827896,12,3,1.52504886574852,4.1,176.09756097561,24
"AD140TS",17.85,158,40.4867758763984,92,47,42,98,330.626252192876,13,56,5.6,22,2.5820063314606,5.1,68,0,5.4,11,16.0257709827896,5,0,0,4.5,87.3387096774193,20
"AD141ED",19.06,178,78.621062028849,107,68,70,96,273.422886479485,13,60,7.1,26,9.95008231287895,7.5,98,72.6749921029194,13,13,23.0148540935341,15,9,2.70225594721891,3.1,164.090909090909,36
"AD142NL",21.49,189,100.987204206386,117,66,63,99,361.348828650167,13,72,19,30,19.2242358078229,15.4,98,72.6749921029194,13,14,26.831725941639,22,11,2.95443848617409,6.1,246.136363636364,38
"AD143KS",24.28,181,84.6363688659685,105,52,46,99,361.348828650167,13,66,10.6,24,5.97754334017523,6.1,96,66.419059979438,13,10,12.8749541827448,4,1,0.726741675388363,6.6,148.356164383562,29
"AD144GE",20.15,183,88.6829204050618,111,48,41,95,246.931203264946,13,69,14.1,28,14.3882902678818,10.2,86,37.4403975422691,9,9,9.97098001967218,6,4,1.79841615984449,3.7,166.615384615385,30
"AD145CW",22.52,188,98.919939063926,115,64,60,98,330.626252192876,13,74,19,28,14.3882902678818,10.2,99,75.8546521229869,13,14,26.831725941639,21,19,3.69510089560998,4.5,212.352941176471,33
"AD146JG",22.31,191,105.14084117486,120,62,58,94,221.838524653083,13,72,19,30,19.2242358078229,15.4,97,69.5295433683051,13,13,23.0148540935341,11,14,3.27168520213272,6.3,221.020408163265,37
"AD147MW",23.77,187,96.8591645354147,112,59,54,99,361.348828650167,13,68,12.7,27,12.1158777886352,8.6,95,63.3443390590008,13,15,30.8516826499742,13,2,1.18459712334706,7,173.28,42
