"subj","region_C","std_res_f_coca_log","std_res_prevf_coca_log","prevwlen_C","printexp.comp_bct:region_C","gort.wpm.st:region_C","decod.comp_bct:region_C","decod.comp_bct:reglen_C"
30,1.97649164656841e-11,5.27978697503445e-07,0.000113751289454735,2.21589087400142e-08,0.00621066703010078,0.00419664881103047,0.00656114668819402,0.00568190013900112
31,2.21397506936871e-10,6.060117614586e-08,4.00378001494391e-05,1.87879363238711e-08,0.000466423237854155,0.00375048383241227,0.00461634546390523,0.00467358398917002
32,6.16467796818955e-11,8.06801751377171e-07,3.61830116640395e-05,2.10760897113995e-07,0.028714537110731,0.00926851570643849,0.010183876121772,0.00505015783707682
33,1.19853657811215e-11,5.34503808770236e-07,7.54376796627614e-05,9.68640712205046e-09,0.00622351691419069,0.00583931692620031,0.0063623553654995,0.00471137169896334
34,4.18139028491306e-11,3.11101584364441e-07,2.57338062350304e-05,6.46577039167529e-09,0.00373000089127013,0.00216973617636456,0.00197690398078568,0.00340570205911763
35,4.21732919747443e-12,8.70769232245911e-07,2.9982935651939e-05,1.2179876682273e-07,0.0072467414615552,0.00690873300905765,0.00318894706264056,0.00297532222459376
36,7.20582998904784e-11,4.15470293484582e-07,5.88434278767137e-05,3.67577959624549e-08,0.00384326854377689,0.00590651046329547,0.00747832322599196,0.00508128524835243
37,1.78569785550101e-11,4.43923650746766e-07,4.92271031360751e-05,1.36659001135279e-07,0.00586352709117722,0.00439778166698289,0.00641509491966219,0.0064615775243539
38,1.33375554867864e-11,6.28121288709363e-07,6.27979921633804e-05,3.10275036526051e-08,0.00704589011129391,0.00427054488944547,0.00865349430849294,0.118322131920338
39,3.79725687561817e-12,5.54579879359905e-07,9.47044668646624e-05,2.28800435225578e-08,0.00735320618636148,0.00236546697573103,0.00699834578358322,0.00567781274732043
40,6.69943097941874e-11,3.90957090423675e-07,6.69616730413117e-05,1.62873452330505e-07,0.0285471222664055,0.00513876941045704,0.00660377082718963,0.00503797038687735
41,3.13880094807271e-11,6.15889787243541e-07,6.18680488082078e-05,8.03762275441357e-08,0.00849592571483981,0.0042972856847331,0.00881014899806142,0.00318504120173526
42,3.79128087050022e-11,1.21417362627098e-07,6.04524905185297e-05,1.03125630777835e-08,0.00337230158661921,0.00363128620636654,0.00521486733428074,0.00466509996465984
43,1.16111994216819e-11,3.91623331954009e-07,6.82447580726337e-05,5.22712356399516e-08,0.00535294529414205,0.00288796791353358,0.00512840698996154,0.00362431655787308
44,7.5609640859169e-11,2.50818943106093e-07,0.000179928952749074,7.91170106851682e-08,0.0113502828857284,0.00323123661397673,0.0043163424234825,0.00291468970632146
