"subj","region_C","std_res_f_coca_log","std_res_prevf_coca_log","prevwlen_C","printexp.comp_bct:region_C","gort.wpm.st:region_C","decod.comp_bct:region_C","decod.comp_bct:reglen_C"
30,6.88885681551879,-5.20293597240766,-4.04043503378708,5.78032658033426,-2.88532439886603,3.01812207874933,2.86623493735864,-2.91600104165733
31,6.52872465692351,-5.60357261084521,-4.29109496822072,5.80880578514623,-3.67463700713198,3.05513727748563,2.98637351275356,-2.9822442954709
32,6.72170537735331,-5.12079082308468,-4.31462218673386,5.37654219770347,-2.29408510378841,2.74306160958435,2.70850920197862,-2.95614520892054
33,6.96109132182494,-5.20057466967751,-4.14083690678441,5.92175712582572,-2.88460797285465,2.90661415412158,2.8769491119925,-2.97954280014445
34,6.77921141349751,-5.30362287631186,-4.39289573733702,5.9896252195228,-3.05692926747589,3.22930678732401,3.25800085049382,-3.08654034241131
35,7.1095542119925,-5.1058692321191,-4.35796824599128,5.47758287443017,-2.8313476761161,2.84816800099708,3.10777282241627,-3.13000460122896
36,6.69844863690895,-5.24879342093542,-4.20040280762007,5.69209574156085,-3.04712768290193,2.90267515746572,2.82021564656625,-2.95406584711391
37,6.90357707213277,-5.23615788796967,-4.24267078057884,5.4565260969849,-2.90519033130738,3.0025710644655,2.87407827008989,-2.87156516867657
38,6.94571793350345,-5.16944755675772,-4.18488922761816,5.72179225033532,-2.84125756026422,3.01233308845778,2.76797888001565,-1.55910609599143
39,7.12429696903575,-5.19347984510794,-4.08553811806928,5.77478349984175,-2.82619189434677,3.20244946582593,2.84363954863492,-2.91624781762584
40,6.70931813158155,-5.26036681096301,-4.169520743013,5.42427023119861,-2.29663258316551,2.95025528023679,2.86397483314474,-2.95696244339235
41,6.82138646118357,-5.17325028836382,-4.18845273404756,5.55294675799971,-2.77460989144828,3.01026017430385,2.76148959570487,-3.10816715144356
42,6.7936431415224,-5.47815542228407,-4.19397526194484,5.91116983945921,-3.08973179131719,3.06569073242455,2.94526844172281,-2.98285349390684
43,6.96564605517522,-5.2600431203123,-4.16496612193683,5.62989894611501,-2.93638206440572,3.13951067368178,2.9509393972399,-3.06631733876488
44,6.69126277814237,-5.3440800830656,-3.92530507317234,5.55578966469733,-2.66817318714806,3.10353083734893,3.00878991070244,-3.13657564196114
