"subj","std_res_prevf_coca_log","prevwlen_C","decod.comp_bct:region_C","oral.comp_bct:reglen_C","printexp.comp_bct:reglen_C","gort.wpm.st:reglen_C","sspan.corr.st:reglen_C"
0,0.00174481162025577,1.76740380889247e-16,0.000723943651778104,0.00145638350717006,0.00169388954267527,0.000264651626043128,0.00992648786414552
1,0.00160328490988636,1.09266115636725e-16,0.000465617039480017,0.00145239388472393,0.00164839588043448,0.000288748094191834,0.010296206776689
2,0.000676889719722753,2.3783728125525e-16,0.000591477042838733,0.00373601824179707,0.00200554394108477,0.000232454679608335,0.056738284767109
3,0.00245741903973896,1.65565408681365e-16,0.00120381479234005,0.00200888409592771,0.00182340891315489,0.000275351711303811,0.00987106116271977
4,0.0021475946094253,1.21288864072308e-16,0.00122019361306629,0.00348963234601343,0.0023051623772441,0.000291686350193799,0.0183544201855311
5,0.0015646590256965,3.33604344733736e-15,0.00148830570883284,0.00208086883391282,0.00164253728646872,0.000360140030014974,0.0104197287529056
6,0.00134754945163312,8.50718043005968e-15,0.000471528205582989,0.000979373096865058,0.00403953665512734,0.00194494760608594,0.0267521686092213
7,0.00362803484640541,8.10554161015731e-17,0.00544807509694506,0.00167274198996583,0.00160209537013925,0.000250515702067197,0.0100672370511238
8,0.00152178563560197,8.74447009928892e-16,0.000787830730466248,0.000819279818260837,0.000938573934869018,0.000166690722149413,0.00570164886558868
9,0.00142796006440382,9.07163141367635e-15,0.000294513402290931,0.00180134909467956,0.00204285734953763,0.00184998827004514,0.0115875965114065
10,0.00104935296835201,2.38427093941049e-15,0.000571788004362782,0.00161143834422435,0.00741908183748289,0.000189940867374816,0.00652078762951153
11,0.0032487592789466,6.13383906141571e-17,0.000264461086789433,0.00248678112250976,0.00174469564755562,0.000210136867287926,0.00746337278857376
12,0.00060731427172295,2.0164133011966e-14,2.67839916818676e-05,0.00560946801410448,0.0266631235650436,0.00116111761954768,0.00880500438120734
13,0.00268898108473581,1.41062718335219e-16,0.0116353209608759,0.00155722140960932,0.00173360727344118,0.000272589586776266,0.0121646039973507
14,0.00209396595304995,9.04806214436119e-17,0.000313250466005217,0.00144325680127796,0.00213452111902039,0.000274807224388002,0.0105284939620383
15,0.00378771603651455,1.56409171381059e-16,0.00321743001297422,0.00087385028285057,0.00153501507976893,0.000211860360373007,0.00390351899629361
16,0.00254204129836105,8.32353006558414e-17,0.00209714502529306,0.00223821856323385,0.00341269153497928,0.00058185995126527,0.00876929448416936
17,0.00189631106640192,1.48172911025256e-16,0.000468097691025671,0.00149750497696539,0.00191915672715337,0.000260150183427132,0.0100965925722823
18,0.00162575691557893,1.43155308791711e-16,0.00206962472322494,0.0043599171451418,0.00101556377500215,2.26462304855402e-05,0.0150672861676131
19,0.00206279236672864,4.42394416551789e-17,0.00145882236050359,0.00161688942186577,0.00158541995110393,0.000246480038892479,0.00869846861359428
20,0.00193200369760676,1.78493718107204e-16,0.000496033163781131,0.00619090992455562,0.00254233073813345,0.000229998416807528,0.0135755374997282
21,0.0023937822177189,1.50071931268788e-16,0.00137408011590177,0.000526191513629955,0.000380289809869936,0.000125001162671151,0.00518734376642379
22,0.0023070832772554,4.23705771297064e-17,0.00022036771861147,0.00155682768553124,0.00151454084445585,0.000217882544064211,0.00869463535056214
23,0.00148036460993623,3.69611699825586e-17,0.000214051160063426,0.00105534853146642,0.00260343966308768,0.0004343711538449,0.0060861045906672
24,0.00144581642736528,1.86549024950801e-16,0.000729129386899414,0.00150457190639781,0.00164207330136495,0.000246093162411153,0.0096469186597794
25,0.00119672127059245,3.21521392434117e-15,0.000568344554912148,0.00237694417510062,0.00228716761368374,0.000373448453046283,0.00976980575690499
26,0.00112790537115233,3.69486680023708e-17,0.000542497638353163,0.000968162904895505,0.000310639397002655,0.00299133771770641,0.00264738582894689
27,0.00241841099879196,5.61527149593438e-16,0.000718979864394335,0.00162337890396239,0.0019019260602816,0.000347865085036123,0.00990796325951872
28,0.00101595071257489,2.4176663092303e-16,0.00464781002569323,0.00145329204380574,0.00186940325754576,0.000294053050385114,0.0100631716258407
29,0.00275871738273368,1.0374431948914e-15,0.000180013994936127,0.0016442218639136,0.0026945367086021,0.00010620441954035,0.00468999904856275
30,0.00302569967197761,5.07552131126501e-17,0.00132701769009264,0.00106758770506728,0.00178861675144843,0.000263253305564114,0.0106377020078576
31,0.00397116133337003,4.00615979631786e-17,0.000610738395765821,0.00160044229441485,0.00172321068238361,0.000260103986133067,0.0106294250729677
32,0.00203332060907956,1.13846874749925e-16,0.00129249480939274,0.000337470798752227,0.000260872911659264,6.43158272840225e-05,0.00917331130658545
33,0.00191761843245182,2.94469573603789e-17,0.000741589675516732,0.000437063292985722,0.00189858552482182,0.00150029519743775,0.00923203011563773
34,0.00266400495038725,7.3880063630803e-17,0.00878734350832446,0.00322733403311338,0.00210278965344069,0.000366807918500866,0.0596617964105982
35,0.000849807535221521,1.54975692025513e-15,0.00440591807497186,0.00162606852828817,0.00152591499838283,0.000241059218811239,0.00998536477104786
36,0.0021247631340267,4.89097639640759e-16,0.00084629659469393,0.00114230115718658,0.00137148542401544,0.000317351315639832,0.0162261232822054
37,0.00201363192882605,2.28715769691285e-14,0.000447259031958968,0.00468020769078663,0.00251366998515986,0.000240168118835764,0.0178119377966336
38,0.00117821477467991,4.06837509851758e-17,0.000773569387997836,0.00147290854817719,0.0107936686207264,0.000836284749727867,0.0424836972581012
39,0.00105343945179649,4.16829992063228e-17,0.000297950983523992,0.00142835068910609,0.0015064288177139,0.000428167065487602,0.00917105050635703
