"quartiles","lm.seg.axis_x","lm_MSE","lm_AIC","lm.seg_MSE","lm.seg_AIC","loess_MSE","loess_AIC"
"[-2.3,-0.0233]","-0.715008155845334",750.612477064946,112220.811990854,171.959971713351,112153.312354515,153.717496018288,NA
"(-0.0233,2.86]","1.3753996969977",609.70077556218,103577.279774228,67.8051977538153,103482.552921453,88.5657466811107,NA
