"quartiles","lm.seg.axis_x","lm_MSE","lm_AIC","lm.seg_MSE","lm.seg_AIC","loess_MSE","loess_AIC"
"[-2.06,0.193]","-2.6058043775825",276.791175950444,119542.329055886,224.726645589826,119538.064843481,200.998769149929,NA
"(0.193,1.75]","-2.00091209808977",233.430054842842,96729.4419498543,199.046870071238,96728.9874920364,160.028766011659,NA
