"quartiles","lm.seg.axis_x","lm_MSE","lm_AIC","lm.seg_MSE","lm.seg_AIC","loess_MSE","loess_AIC"
"[-1.97,-0.0273]","1.27638629027524",157.220553211195,103960.334621325,23.6775117047953,103917.444103338,30.2650614155033,NA
"(-0.0273,1.8]","1.65167976411649",75.9416598737878,96308.6299083437,21.7442720935473,96287.8301635099,24.5972509548904,NA
