"quartiles","lm.seg.axis_x","lm_MSE","lm_AIC","lm.seg_MSE","lm.seg_AIC","loess_MSE","loess_AIC"
"[-2.11,-0.0482]","0.347695617190574",930.99731163026,94914.5922516694,899.772318528445,94896.4338235343,892.823749581605,NA
"(-0.0482,1.73]","-0.284841049093073",659.113918589744,90628.1500548143,647.752619795681,90620.4609654716,645.267304380305,NA
